component,name,carrier,zone,p_nom_opt,p_nom_min,unit,existing
Generator,offwind Z17,offwind,Z17,0,0,MW,False
Generator,offwind Z13,offwind,Z13,0,0,MW,False
Generator,offwind_existing Z1_3,offwind,Z1_3,1490,0,MW,True
Generator,offwind_existing Z2,offwind,Z2,1126.3,0,MW,True
Generator,offwind_existing Z3,offwind,Z3,2155,0,MW,True
Generator,offwind_existing Z5,offwind,Z5,457,0,MW,True
Generator,offwind_existing Z6,offwind,Z6,174,0,MW,True
Generator,offwind_existing Z7,offwind,Z7,2503.5,0,MW,True
Generator,offwind_existing Z8,offwind,Z8,3920,0,MW,True
Generator,offwind_existing Z9,offwind,Z9,2729.2,0,MW,True
Generator,offwind_existing Z10,offwind,Z10,1256.7,0,MW,True
Generator,offwind_existing Z12,offwind,Z12,10574.8,0,MW,True
Generator,offwind_existing Z15,offwind,Z15,1069.5,0,MW,True
Generator,offwind_existing Z16,offwind,Z16,400,0,MW,True
Generator,ocgt Z1_1,gas,Z1_1,0,0,MW,False
Generator,ocgt Z1_2,gas,Z1_2,0,0,MW,False
Generator,ocgt Z1_3,gas,Z1_3,0,0,MW,False
Generator,ocgt Z1_4,gas,Z1_4,0,0,MW,False
Generator,ccgt_existing Z2,gas,Z2,1159.01,0,MW,True
Generator,ocgt Z2,gas,Z2,0,0,MW,False
Generator,ocgt Z3,gas,Z3,0,0,MW,False
Generator,ocgt Z4,gas,Z4,0,0,MW,False
Generator,ocgt Z5,gas,Z5,0,0,MW,False
Generator,gas_ccs Z5,gas_ccs,Z5,0,0,MW,False
Generator,ocgt Z6,gas,Z6,0,0,MW,False
Generator,ocgt_existing Z7,gas,Z7,84,0,MW,True
Generator,ocgt Z7,gas,Z7,0,0,MW,False
Generator,gas_ccs Z7,gas_ccs,Z7,0,0,MW,False
Generator,ccgt_existing Z8,gas,Z8,3643.84,0,MW,True
Generator,ocgt_existing Z8,gas,Z8,1280,0,MW,True
Generator,ocgt Z8,gas,Z8,0,0,MW,False
Generator,gas_ccs Z8,gas_ccs,Z8,0,0,MW,False
Generator,ccgt_existing Z9,gas,Z9,2799.38,0,MW,True
